,1,2,3,4,5,6,7,8
0,BD,0.3895,3,0.6071,ABD,0.1285,1,0.4235
1,AB,0.385,1,0.6306,ABE,0.1146,2,0.4011
2,AE,0.3504,4,0.5996,BDE,0.112,4,0.3636
3,AC,0.3263,10,0.5143,ABH,0.1089,5,0.3619
4,BE,0.3166,7,0.5522,BDH,0.1031,9,0.3239
5,AD,0.315,6,0.5613,ABG,0.1026,8,0.3306
6,DE,0.3078,2,0.6211,ABC,0.1009,10,0.3228
7,BC,0.2815,19,0.4064,ACE,0.0994,15,0.3059
8,BH,0.2778,13,0.498,BEH,0.0993,12,0.316
9,AG,0.275,12,0.5011,ADE,0.0956,3,0.3683
10,AH,0.2639,11,0.5019,AEG,0.0919,11,0.3224
11,EH,0.2593,5,0.5718,AEH,0.0898,6,0.3426
12,DH,0.2585,9,0.5205,ACD,0.0889,16,0.3022
13,EJ,0.2529,17,0.4471,BCD,0.0848,22,0.2739
14,GH,0.2503,14,0.4624,ADH,0.0787,13,0.3104
15,EG,0.2495,8,0.5328,EHJ,0.0754,20,0.2752
16,BG,0.2438,16,0.45,BEG,0.0747,23,0.2684
17,CD,0.2383,21,0.3823,EGH,0.0742,14,0.3073
18,CE,0.238,22,0.3823,ACG,0.0741,33,0.2237
19,IK,0.2232,53,0.2393,BCE,0.0734,28,0.2466
